,Name,Year,Selling_Price,Km_Driven,Fuel,Seller_Type,Transmission,Owner,Brand,Model,Km_Driven_log,Selling_Price_log,Car_Age
0,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,Maruti,800AC,11.156250521031495,11.002099841204238,17
1,Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,Maruti,WagonR,10.819778284410283,11.813030057420567,17
2,Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,Hyundai,Verna1.6,11.512925464970229,13.304684934198283,12
3,Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,Datsun,RediGOT,10.736396675471232,12.429216196844383,7
6,Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Xcent1.2,10.126631103850338,13.217673557208654,8
7,Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,Tata,IndigoGrand,11.002099841204238,12.388394202324129,10
9,Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,Maruti,CelerioGreen,11.26446410567173,12.80765263256463,7
10,Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,Chevrolet,Sail1.2,10.46310334047155,12.468436909997665,9
11,Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,Tata,IndigoGrand,11.512925464970229,12.429216196844383,10
26,Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,First Owner,Maruti,CiazVXi,10.085809109330082,13.279367126213993,9
28,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,Second Owner,Chevrolet,EnjoyTCDi,10.404262840448617,12.873902018105829,11
34,Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,First Owner,Tata,Tigor1.2,9.615805480084347,13.17115354157376,6
42,Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,i10Magna,11.002099841204238,12.345830240069793,10
45,Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,First Owner,Hyundai,ElantraCRDi,10.596634733096073,13.345506928718539,12
47,Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,Second Owner,Honda,Cityi,11.211820372186306,13.235692062711331,10
48,Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,Second Owner,Maruti,WagonR,11.06663836234181,12.577636201962656,10
49,Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Individual,Manual,Second Owner,Maruti,WagonR,11.002099841204238,12.524526376648708,12
51,Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Individual,Manual,Third Owner,Hyundai,SantroXing,11.27720313144916,11.918390573078392,15
52,Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Individual,Manual,First Owner,Hyundai,Grandi10,9.615805480084347,13.122363377404328,5
53,Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner,Maruti,AltoLXi,11.289781913656018,11.512925464970229,18
54,Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,First Owner,Maruti,SwiftDzire,9.825526011066415,13.493926933836812,7
55,Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,First Owner,Maruti,Eeco5,9.230142999272362,12.901716706288706,6
56,Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,First Owner,Hyundai,i20Sportz,10.275051108968611,13.527828485512494,6
57,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,First Owner,Maruti,OmniMaruti,10.239959789157341,12.644327576461329,6
